time,uav0_coords,uav0_state,uav1_coords,uav1_state,uav2_coords,uav2_state,uav3_coords,uav3_state,uav4_coords,uav4_state,uav5_coords,uav5_state,uav6_coords,uav6_state
34.55335021018982,"[-20.002708435058594, 9.9956636428833, 10.003128051757812]",,"[-0.03656031936407089, 30.0516300201416, 10.002882957458496]",,"[-10.008163452148438, 69.99434661865234, 10.010287284851074]",,"[40.00407409667969, 24.970211029052734, 10.00245189666748]",,"[-35.05419921875, -51.02531814575195, 10.004638671875]",,"[-51.00155258178711, -34.99485778808594, 9.998761177062988]",,"[-51.01934814453125, 0.0018863584846258163, 10.008782386779785]",
34.600632190704346,"[-20.002613067626953, 9.994406700134277, 10.003425598144531]",,"[-0.03603293374180794, 30.050596237182617, 10.00267505645752]",,"[-10.008788108825684, 69.99419403076172, 10.010547637939453]",,"[40.00136184692383, 24.96735954284668, 10.002151489257812]",,"[-35.053977966308594, -51.02500534057617, 10.004559516906738]",,"[-51.00210952758789, -34.994903564453125, 9.998441696166992]",,"[-51.01918411254883, 0.0018679775530472398, 10.00872802734375]",
34.65033006668091,"[-20.002517700195312, 9.993851661682129, 10.003466606140137]",,"[-0.035739023238420486, 30.049945831298828, 10.002481460571289]",,"[-10.009090423583984, 69.99417877197266, 10.010493278503418]",,"[39.999759674072266, 24.965761184692383, 10.001991271972656]",,"[-35.05259323120117, -51.02352523803711, 10.004061698913574]",,"[-51.003570556640625, -34.995052337646484, 9.997682571411133]",,"[-51.018760681152344, 0.0017471944447606802, 10.008687019348145]",
34.70048713684082,"[-20.002269744873047, 9.992610931396484, 10.003274917602539]",,"[-0.03510621190071106, 30.048765182495117, 10.001893997192383]",,"[-10.009637832641602, 69.99417877197266, 10.010248184204102]",,"[39.996665954589844, 24.962989807128906, 10.001785278320312]",,"[-35.05216979980469, -51.023075103759766, 10.004036903381348]",,"[-51.00431823730469, -34.995155334472656, 9.997381210327148]",,"[-51.01850509643555, 0.0016884045908227563, 10.008593559265137]",
34.75022315979004,"[-20.00181770324707, 9.991172790527344, 10.003211975097656]",,"[-0.03461306914687157, 30.04794692993164, 10.001448631286621]",,"[-10.00999641418457, 69.99419403076172, 10.010285377502441]",,"[39.99544906616211, 24.961931228637695, 10.001774787902832]",,"[-35.0510139465332, -51.021968841552734, 10.003983497619629]",,"[-51.00532913208008, -34.995365142822266, 9.997163772583008]",,"[-51.01777267456055, 0.0014558822149410844, 10.008105278015137]",
34.80055522918701,"[-20.00165367126465, 9.990604400634766, 10.00320816040039]",,"[-0.034130457788705826, 30.04717445373535, 10.001120567321777]",,"[-10.010555267333984, 69.99424743652344, 10.010271072387695]",,"[39.99280548095703, 24.95972442626953, 10.00192928314209]",,"[-35.05044937133789, -51.0214729309082, 10.004014015197754]",,"[-51.0060920715332, -34.99553680419922, 9.997078895568848]",,"[-51.01746368408203, 0.0013306092005223036, 10.007786750793457]",
34.850327014923096,"[-20.001148223876953, 9.989316940307617, 10.003252983093262]",,"[-0.033193353563547134, 30.04584312438965, 10.000539779663086]",,"[-10.01091480255127, 69.99427032470703, 10.010375022888184]",,"[39.99138259887695, 24.958614349365234, 10.001969337463379]",,"[-35.04911804199219, -51.02032470703125, 10.004085540771484]",,"[-51.007389068603516, -34.99579620361328, 9.996929168701172]",,"[-51.016719818115234, 0.0010456126183271408, 10.006933212280273]",
34.90022110939026,"[-20.000850677490234, 9.988534927368164, 10.003396034240723]",,"[-0.03252765163779259, 30.044885635375977, 10.000237464904785]",,"[-10.011653900146484, 69.994384765625, 10.010575294494629]",,"[39.98912048339844, 24.9571475982666, 10.002016067504883]",,"[-35.048431396484375, -51.01974105834961, 10.004119873046875]",,"[-51.00797653198242, -34.99590301513672, 9.99678897857666]",,"[-51.01645278930664, 0.000943453109357506, 10.006619453430176]",
34.950297117233276,"[-20.000350952148438, 9.987398147583008, 10.003618240356445]",,"[-0.0315500870347023, 30.04343605041504, 9.99990177154541]",,"[-10.011953353881836, 69.99446105957031, 10.010702133178711]",,"[39.98771667480469, 24.95638656616211, 10.001958847045898]",,"[-35.047019958496094, -51.018428802490234, 10.00412368774414]",,"[-51.00902557373047, -34.995994567871094, 9.996408462524414]",,"[-51.01577377319336, 0.000775142339989543, 10.005922317504883]",
35.00065803527832,"[-20.000064849853516, 9.986711502075195, 10.003884315490723]",,"[-0.030979081988334656, 30.042522430419922, 9.999725341796875]",,"[-10.012710571289062, 69.99470520019531, 10.01093864440918]",,"[39.98554229736328, 24.955503463745117, 10.001715660095215]",,"[-35.04640579223633, -51.01785659790039, 10.004042625427246]",,"[-51.009517669677734, -34.99602508544922, 9.996230125427246]",,"[-51.01530456542969, 0.0006987458909861743, 10.005655288696289]",
